DATE,VALUE
10/28/1996,382.8
10/29/1996,382.35
10/30/1996,380.3
10/31/1996,379.3
11/1/1996,377.2
11/4/1996,378.65
11/5/1996,379.25
11/6/1996,377.9
11/7/1996,377.9
11/8/1996,378.35
11/11/1996,379.75
11/12/1996,381.6
11/13/1996,382.5
11/14/1996,382.65
11/15/1996,379.85
11/18/1996,379.7
11/19/1996,378.3
11/20/1996,378.6
11/21/1996,378.5
11/22/1996,376.9
11/25/1996,375.1
11/26/1996,374.5
11/27/1996,373.95
11/28/1996,372.2
11/29/1996,371.9
12/2/1996,370.5
12/3/1996,369
12/4/1996,370.4
12/5/1996,368.3
12/6/1996,373
12/9/1996,368.5
12/10/1996,368.8
12/11/1996,369.6
12/12/1996,368.6
12/13/1996,369.05
12/16/1996,368.6
12/17/1996,368.3
12/18/1996,369
12/19/1996,369.6
12/20/1996,369.2
12/23/1996,368.7
12/24/1996,368.9
12/27/1996,369.55
12/30/1996,369.6
12/31/1996,369.55
1/2/1997,367.8
1/3/1997,364.3
1/6/1997,359.25
1/7/1997,357.65
1/8/1997,355.8
1/9/1997,354.5
1/10/1997,358.55
1/13/1997,359.6
1/14/1997,357.3
1/15/1997,352.45
1/16/1997,354
1/17/1997,354.1
1/20/1997,354.2
1/21/1997,353.4
1/22/1997,350.1
1/23/1997,349.8
1/24/1997,352.95
1/27/1997,353.1
1/28/1997,357.25
1/29/1997,350.15
1/30/1997,349.3
1/31/1997,345
2/3/1997,343.75
2/4/1997,346.3
2/5/1997,343.15
2/6/1997,343.4
2/7/1997,340.9
2/10/1997,341
2/11/1997,338.85
2/12/1997,336.9
2/13/1997,343
2/14/1997,342.5
2/17/1997,343.6
2/18/1997,346
2/19/1997,346.1
2/20/1997,344.85
2/21/1997,350.75
2/24/1997,352.45
2/25/1997,353.45
2/26/1997,353.85
2/27/1997,356.6
2/28/1997,360.6
3/3/1997,361.8
3/4/1997,361.75
3/5/1997,355.75
3/6/1997,352.15
3/7/1997,351.7
3/10/1997,349.9
3/11/1997,352.6
3/12/1997,353.15
3/13/1997,351.45
3/14/1997,353
3/17/1997,352.05
3/18/1997,347.4
3/19/1997,348.95
3/20/1997,352.7
3/21/1997,351.7
3/24/1997,350.65
3/25/1997,350.9
3/26/1997,346.8
3/27/1997,349.5
4/1/1997,349.85
4/2/1997,350.7
4/3/1997,349.1
4/4/1997,347.35
4/7/1997,347.85
4/8/1997,349.1
4/9/1997,348
4/10/1997,348.05
4/11/1997,348.65
4/14/1997,346.65
4/15/1997,345.6
4/16/1997,341.45
4/17/1997,341.2
4/18/1997,342
4/21/1997,342.15
4/22/1997,342
4/23/1997,340.7
4/24/1997,341.15
4/25/1997,341.35
4/28/1997,341.25
4/29/1997,338.95
4/30/1997,340.45
5/1/1997,339.55
5/2/1997,339.8
5/6/1997,342.8
5/7/1997,340.65
5/8/1997,342.4
5/9/1997,344.8
5/12/1997,348.2
5/13/1997,347.3
5/14/1997,349
5/15/1997,348.1
5/16/1997,347
5/19/1997,343.35
5/20/1997,342.5
5/21/1997,342.25
5/22/1997,342.95
5/23/1997,341.65
5/27/1997,343.55
5/28/1997,344.7
5/29/1997,345.7
5/30/1997,345.75
6/2/1997,344
6/3/1997,343.8
6/4/1997,342.4
6/5/1997,340.7
6/6/1997,343.8
6/9/1997,343.85
6/10/1997,344
6/11/1997,343.7
6/12/1997,341.8
6/13/1997,341.2
6/16/1997,340.95
6/17/1997,341.4
6/18/1997,342.05
6/19/1997,340.15
6/20/1997,339.55
6/23/1997,336.95
6/24/1997,338.65
6/25/1997,338.7
6/26/1997,337.9
6/27/1997,337.3
6/30/1997,334.05
7/1/1997,333.6
7/2/1997,331.45
7/3/1997,332.3
7/4/1997,325.2
7/7/1997,318.75
7/8/1997,317.6
7/9/1997,315.75
7/10/1997,319.65
7/11/1997,320.6
7/14/1997,321.35
7/15/1997,319
7/16/1997,319.5
7/17/1997,318.75
7/18/1997,323.45
7/21/1997,328.05
7/22/1997,326
7/23/1997,324.35
7/24/1997,321.8
7/25/1997,324.5
7/28/1997,325.4
7/29/1997,327.5
7/30/1997,326.4
7/31/1997,326
8/1/1997,325.3
8/4/1997,324.05
8/5/1997,323.35
8/6/1997,318.85
8/7/1997,318.95
8/8/1997,321.6
8/11/1997,326.2
8/12/1997,327.6
8/13/1997,328.6
8/14/1997,327.3
8/15/1997,323.5
8/18/1997,326.05
8/19/1997,322.1
8/20/1997,322
8/21/1997,321.9
8/22/1997,321.8
8/26/1997,325.4
8/27/1997,325.3
8/28/1997,324.7
8/29/1997,325.4
9/1/1997,324.4
9/2/1997,324.5
9/3/1997,322
9/4/1997,321.8
9/5/1997,321.6
9/8/1997,322.05
9/9/1997,321
9/10/1997,321
9/11/1997,321.05
9/12/1997,323.25
9/15/1997,323.15
9/16/1997,321.8
9/17/1997,319.95
9/18/1997,320.65
9/19/1997,321.15
9/22/1997,321.1
9/23/1997,320.7
9/24/1997,322
9/25/1997,323.15
9/26/1997,325.45
9/29/1997,327.05
9/30/1997,328.75
10/1/1997,336.8
10/2/1997,331.75
10/3/1997,331.1
10/6/1997,334.15
10/7/1997,331.5
10/8/1997,331.9
10/9/1997,333.75
10/10/1997,327.9
10/13/1997,328.8
10/14/1997,328.1
10/15/1997,325.6
10/16/1997,327.3
10/17/1997,324.2
10/20/1997,324.25
10/21/1997,323
10/22/1997,322.7
10/23/1997,323.3
10/24/1997,321.9
10/27/1997,311.8
10/28/1997,313.75
10/29/1997,313.7
10/30/1997,314
10/31/1997,310.4
11/3/1997,313.5
11/4/1997,313.3
11/5/1997,314.6
11/6/1997,312.25
11/7/1997,313.25
11/10/1997,309.7
11/11/1997,310.6
11/12/1997,310.1
11/13/1997,308.35
11/14/1997,304.5
11/17/1997,303
11/18/1997,303.65
11/19/1997,306.4
11/20/1997,303.05
11/21/1997,303.4
11/24/1997,305.5
11/25/1997,301.7
11/26/1997,297
11/27/1997,296.15
11/28/1997,296.9
12/1/1997,293.35
12/2/1997,293.5
12/3/1997,291.1
12/4/1997,289.85
12/5/1997,287.05
12/8/1997,288.1
12/9/1997,285.5
12/10/1997,285.05
12/11/1997,286.15
12/12/1997,283.05
12/15/1997,283.2
12/16/1997,283.25
12/17/1997,286.1
12/18/1997,287.05
12/19/1997,289.25
12/22/1997,290.45
12/23/1997,292.2
12/24/1997,296.1
12/29/1997,293.9
12/30/1997,290.9
12/31/1997,289.2
1/2/1998,287.7
1/5/1998,287.35
1/6/1998,281.8
1/7/1998,282.1
1/8/1998,282.9
1/9/1998,281.9
1/12/1998,278.5
1/13/1998,279.05
1/14/1998,285.9
1/15/1998,281.1
1/16/1998,287.35
1/19/1998,285.75
1/20/1998,287.2
1/21/1998,291.9
1/22/1998,293.8
1/23/1998,291.45
1/26/1998,304.5
1/27/1998,300
1/28/1998,298.25
1/29/1998,304.25
1/30/1998,301.8
2/2/1998,302
2/3/1998,299.7
2/4/1998,295.2
2/5/1998,298.9
2/6/1998,301.6
2/9/1998,300
2/10/1998,300.75
2/11/1998,298.95
2/12/1998,299
2/13/1998,298
2/16/1998,297.7
2/17/1998,299.2
2/18/1998,297.8
2/19/1998,298.3
2/20/1998,298.35
2/23/1998,295.2
2/24/1998,292.35
2/25/1998,292.3
2/26/1998,293
2/27/1998,296.55
3/2/1998,299.75
3/3/1998,297.65
3/4/1998,296
3/5/1998,294.7
3/6/1998,294.25
3/9/1998,294.45
3/10/1998,294.3
3/11/1998,295.25
3/12/1998,294
3/13/1998,295.15
3/16/1998,294.15
3/17/1998,293.8
3/18/1998,289.1
3/19/1998,291.3
3/20/1998,291.1
3/23/1998,292.8
3/24/1998,298.85
3/25/1998,298.5
3/26/1998,299.2
3/27/1998,302.75
3/30/1998,302.2
3/31/1998,299.9
4/1/1998,301.6
4/2/1998,299.3
4/3/1998,305.95
4/6/1998,313.5
4/7/1998,309.15
4/8/1998,309.75
4/9/1998,308.35
4/14/1998,309.5
4/15/1998,308.35
4/16/1998,306.3
4/17/1998,308.2
4/20/1998,307.3
4/21/1998,307.2
4/22/1998,311.2
4/23/1998,314.6
4/24/1998,312.65
4/27/1998,311.4
4/28/1998,308.6
4/29/1998,307.55
4/30/1998,310.7
5/1/1998,306.1
5/5/1998,304.2
5/6/1998,303.5
5/7/1998,299
5/8/1998,299.15
5/11/1998,299
5/12/1998,299.9
5/13/1998,295.6
5/14/1998,296.9
5/15/1998,302.3
5/18/1998,299.7
5/19/1998,299
5/20/1998,298.1
5/21/1998,300.05
5/22/1998,300.7
5/26/1998,298.85
5/27/1998,292.6
5/28/1998,293.4
5/29/1998,292.4
6/1/1998,292.35
6/2/1998,289.2
6/3/1998,293.35
6/4/1998,292.05
6/5/1998,292.2
6/8/1998,290.3
6/9/1998,296.25
6/10/1998,294.15
6/11/1998,292.9
6/12/1998,288.1
6/15/1998,286.1
6/16/1998,286.4
6/17/1998,288.4
6/18/1998,293.05
6/19/1998,293.4
6/22/1998,294.75
6/23/1998,295.55
6/24/1998,293.9
6/25/1998,293.25
6/26/1998,294.5
6/29/1998,293
6/30/1998,295.75
7/1/1998,297.1
7/2/1998,295.75
7/3/1998,293.9
7/6/1998,293.15
7/7/1998,293.1
7/8/1998,294.35
7/9/1998,292.2
7/10/1998,291.35
7/13/1998,290.7
7/14/1998,292.2
7/15/1998,292.8
7/16/1998,294.35
7/17/1998,293.6
7/20/1998,294.65
7/21/1998,295.2
7/22/1998,294.4
7/23/1998,292.9
7/24/1998,293.75
7/27/1998,290.75
7/28/1998,290.35
7/29/1998,291
7/30/1998,289.15
7/31/1998,289.4
8/3/1998,286.65
8/4/1998,285.7
8/5/1998,288.85
8/6/1998,286.85
8/7/1998,286.2
8/10/1998,286.2
8/11/1998,284.5
8/12/1998,285.5
8/13/1998,282.7
8/14/1998,284.8
8/17/1998,283.3
8/18/1998,284.4
8/19/1998,285.75
8/20/1998,283.7
8/21/1998,284.45
8/24/1998,284.3
8/25/1998,283.9
8/26/1998,282.5
8/27/1998,280.9
8/28/1998,273.4
9/1/1998,277.7
9/2/1998,280
9/3/1998,279.65
9/4/1998,285.4
9/7/1998,288.35
9/8/1998,287.3
9/9/1998,284.15
9/10/1998,285.65
9/11/1998,293.75
9/14/1998,290.3
9/15/1998,290.35
9/16/1998,289.15
9/17/1998,287.65
9/18/1998,290.85
9/21/1998,292.1
9/22/1998,288.5
9/23/1998,288
9/24/1998,290.6
9/25/1998,296.35
9/28/1998,293.8
9/29/1998,296.85
9/30/1998,294.1
10/1/1998,299
10/2/1998,301.4
10/5/1998,298.75
10/6/1998,296.35
10/7/1998,298.85
10/8/1998,302.35
10/9/1998,299.65
10/12/1998,296.65
10/13/1998,296.8
10/14/1998,296.6
10/15/1998,296
10/16/1998,300.45
10/19/1998,298.35
10/20/1998,295.85
10/21/1998,296.9
10/22/1998,293.75
10/23/1998,292.85
10/26/1998,291.2
10/27/1998,293
10/28/1998,293.75
10/29/1998,293.5
10/30/1998,293.1
11/2/1998,292.75
11/3/1998,290.1
11/4/1998,290.1
11/5/1998,290.9
11/6/1998,293.6
11/9/1998,292.4
11/10/1998,291.75
11/11/1998,293.6
11/12/1998,293
11/13/1998,297.2
11/16/1998,295.35
11/17/1998,294.6
11/18/1998,294.4
11/19/1998,297.85
11/20/1998,296.05
11/23/1998,295.6
11/24/1998,295.95
11/25/1998,296.2
11/26/1998,296.25
11/27/1998,295.7
11/30/1998,295.75
12/1/1998,293.35
12/2/1998,293.9
12/3/1998,292.95
12/4/1998,292.4
12/7/1998,292.35
12/8/1998,294.5
12/9/1998,293.5
12/10/1998,294.9
12/11/1998,294.3
12/14/1998,291.25
12/15/1998,292.5
12/16/1998,292.55
12/17/1998,293.75
12/18/1998,292.35
12/21/1998,289.95
12/22/1998,288.7
12/23/1998,287.7
12/24/1998,286.65
12/29/1998,286.7
12/30/1998,286.8
12/31/1998,287.45
1/4/1999,288.25
1/5/1999,287
1/6/1999,287.15
1/7/1999,288.6
1/8/1999,290.9
1/11/1999,291.25
1/12/1999,291.4
1/13/1999,288.2
1/14/1999,285.7
1/15/1999,285.85
1/18/1999,286.95
1/19/1999,287.3
1/20/1999,285.9
1/21/1999,287.1
1/22/1999,287.75
1/25/1999,286.3
1/26/1999,287.3
1/27/1999,285.8
1/28/1999,282.3
1/29/1999,285.65
2/1/1999,287.1
2/2/1999,289.75
2/3/1999,287.55
2/4/1999,287.25
2/5/1999,289.75
2/8/1999,288.85
2/9/1999,287.65
2/10/1999,287.1
2/11/1999,287.5
2/12/1999,287.4
2/15/1999,290.05
2/16/1999,288.05
2/17/1999,285.35
2/18/1999,285.65
2/19/1999,287.05
2/22/1999,287.2
2/23/1999,286.65
2/24/1999,286.1
2/25/1999,287.1
2/26/1999,286.8
3/1/1999,287.05
3/2/1999,286.4
3/3/1999,286.65
3/4/1999,286.7
3/5/1999,287.9
3/8/1999,288.5
3/9/1999,291.9
3/10/1999,291.5
3/11/1999,293.8
3/12/1999,293.65
3/15/1999,291.25
3/16/1999,286.8
3/17/1999,283.9
3/18/1999,284.35
3/19/1999,283.45
3/22/1999,284.5
3/23/1999,285.1
3/24/1999,284.25
3/25/1999,283.75
3/26/1999,282
3/29/1999,280.35
3/30/1999,280.05
3/31/1999,279.8
4/1/1999,280.5
4/6/1999,278.35
4/7/1999,280.25
4/8/1999,280.4
4/9/1999,281.6
4/12/1999,282.7
4/13/1999,282.5
4/14/1999,283.85
4/15/1999,281.25
4/16/1999,283.9
4/19/1999,284.65
4/20/1999,284.55
4/21/1999,283.9
4/22/1999,283.35
4/23/1999,283.7
4/26/1999,283.1
4/27/1999,281.5
4/28/1999,282.8
4/29/1999,283.7
4/30/1999,285.85
5/4/1999,285.6
5/5/1999,285.5
5/6/1999,288.1
5/7/1999,283.4
5/10/1999,280.65
5/11/1999,278.3
5/12/1999,278
5/13/1999,278.4
5/14/1999,277.2
5/17/1999,276.1
5/18/1999,274.7
5/19/1999,272.85
5/20/1999,274.4
5/21/1999,274.85
5/24/1999,272.2
5/25/1999,272.65
5/26/1999,269.5
5/27/1999,268.25
5/28/1999,271.05
6/1/1999,265.5
6/2/1999,267.05
6/3/1999,263.85
6/4/1999,266.5
6/7/1999,266.35
6/8/1999,263.85
6/9/1999,262
6/10/1999,258.35
6/11/1999,259.2
6/14/1999,259.3
6/15/1999,259.65
6/16/1999,258.9
6/17/1999,259
6/18/1999,260.5
6/21/1999,259.15
6/22/1999,259.15
6/23/1999,258.7
6/24/1999,260.7
6/25/1999,261.15
6/28/1999,260
6/29/1999,260.8
6/30/1999,261.2
7/1/1999,263
7/2/1999,262.9
7/5/1999,262.85
7/6/1999,261.3
7/7/1999,256.2
7/8/1999,256.4
7/9/1999,257
7/12/1999,256.05
7/13/1999,254.25
7/14/1999,255.6
7/15/1999,253.75
7/16/1999,254.8
7/19/1999,253.15
7/20/1999,253
7/21/1999,252.9
7/22/1999,255.35
7/23/1999,254.9
7/26/1999,253.5
7/27/1999,254.2
7/28/1999,254
7/29/1999,254.5
7/30/1999,256.75
8/2/1999,255.35
8/3/1999,255.7
8/4/1999,257.5
8/5/1999,256.25
8/6/1999,255.3
8/9/1999,256.45
8/10/1999,257
8/11/1999,256.9
8/12/1999,260.2
8/13/1999,260.7
8/16/1999,259.25
8/17/1999,259
8/18/1999,261.5
8/19/1999,258.6
8/20/1999,258.6
8/23/1999,257.5
8/24/1999,254.2
8/25/1999,253.2
8/26/1999,253.15
8/27/1999,254.7
8/31/1999,254.6
9/1/1999,255.45
9/2/1999,254.05
9/3/1999,255.4
9/6/1999,254.9
9/7/1999,254.9
9/8/1999,256
9/9/1999,256.8
9/10/1999,256.2
9/13/1999,256.6
9/14/1999,256.7
9/15/1999,257.4
9/16/1999,255.7
9/17/1999,255.2
9/20/1999,255.3
9/21/1999,255.2
9/22/1999,262.6
9/23/1999,263.4
9/24/1999,265.6
9/27/1999,281.7
9/28/1999,288.25
9/29/1999,317.25
9/30/1999,303.75
10/1/1999,303
10/4/1999,311.75
10/5/1999,326.25
10/6/1999,325
10/7/1999,318
10/8/1999,322.75
10/11/1999,317.75
10/12/1999,323.5
10/13/1999,320.5
10/14/1999,322.65
10/15/1999,316
10/18/1999,317.65
10/19/1999,309
10/20/1999,309.75
10/21/1999,305.5
10/22/1999,303.25
10/25/1999,302.4
10/26/1999,297.95
10/27/1999,290.4
10/28/1999,300.9
10/29/1999,298.85
11/1/1999,293.85
11/2/1999,292.05
11/3/1999,291.75
11/4/1999,292.25
11/5/1999,292
11/8/1999,289
11/9/1999,291.25
11/10/1999,291.85
11/11/1999,296.25
11/12/1999,292.8
11/15/1999,292.7
11/16/1999,292
11/17/1999,295.45
11/18/1999,293.65
11/19/1999,293.7
11/22/1999,294.4
11/23/1999,296.7
11/24/1999,297.85
11/25/1999,298.5
11/26/1999,297.2
11/29/1999,293.1
11/30/1999,292
12/1/1999,291.4
12/2/1999,289.25
12/3/1999,280.85
12/6/1999,277.25
12/7/1999,280
12/8/1999,283.3
12/9/1999,279.6
12/10/1999,278.45
12/13/1999,279.75
12/14/1999,280.3
12/15/1999,279.85
12/16/1999,280.25
12/17/1999,283.05
12/20/1999,284.25
12/21/1999,284.6
12/22/1999,287
12/23/1999,286.4
12/24/1999,287.8
12/29/1999,290.65
12/30/1999,290.85
1/4/2000,282.05
1/5/2000,282.1
1/6/2000,280.35
1/7/2000,282
1/10/2000,281.7
1/11/2000,281.7
1/12/2000,282.25
1/13/2000,282.2
1/14/2000,284.15
1/17/2000,284.9
1/18/2000,286.85
1/19/2000,288.75
1/20/2000,288.35
1/21/2000,287.7
1/24/2000,287.45
1/25/2000,288.7
1/26/2000,284.9
1/27/2000,286.5
1/28/2000,286.15
1/31/2000,283.05
2/1/2000,283.65
2/2/2000,283.1
2/3/2000,285.25
2/4/2000,287.5
2/7/2000,316.6
2/8/2000,303.15
2/9/2000,306
2/10/2000,311.25
